dbid,subject,experiment,session,condition,lm_scenarios,tm_scenarios,ls_n,lt_n,ts_n,tt_n,d_n,ls_t,lt_t,ts_t,tt_t,d_t,d_t_2,linear_time,triangular_time,draw_time,totalTime,LM_T_M,TM_T_M,DT_T_M,TOTAL_T_M,DIFF_T_M,linear_score,triangular_score,score_diff,time_diff,totalScore,AGE,COUNTRY,LANGUAGE,EDUCATION,MAJOR,GENDER,PREFERENCE,Rater,Graph Type,Graph Description (if other),X Axis,Y Axis,Graph Title,Data Point Labels,X Gridlines,Y Gridlines,Point Triangles,X-Axis Scale,Y-Axis Scale,Flag for Review,Points,DRAW_SCORE,ARF,Select each item that is labelled in the graph,Comments
58e45f84d46cc6fa347eac1e,RKCHG,reverse,alfa,0,longmire,axis,4,4,1,0,1,94000,393301,298793,379629,472570,313279,487301,678422,785849,2233627,8.12,11.31,13.1,37.23,-3.19,8,1,-7,-191121,10,20,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Scatterplot,,start,end,NA-CUT OFF,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #",
58e45f84d46cc6fa347eac24,S7D7C,reverse,alfa,0,axis,longmire,4,6,5,9,1,77523,263854,95830,245327,419969,379690,341377,341157,799659,1811499,5.69,5.69,13.33,30.19,0,10,14,4,220,25,21,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Linear Model,,time,trial,James Schedule,Yes,None,None,No,1/2 hour,Trial#,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #","This person drew boxes in a linear graph fashion, labeled multiple trials among the y-axis, and drew random triangles in the middle of the graph. (???)"
58e45f84d46cc6fa347eac1d,S9XA4,reverse,alfa,0,longmire,axis,3,6,0,0,0,197036,444313,387568,662236,83048,1089972,641349,1049804,1173020,3005025,10.69,17.5,19.55,50.08,-6.81,9,0,-9,-408455,9,22,USA,English,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,Evan,Triangular (right angle),,time,hrs,Patient Scheduling (top is cut off),Yes,Pyramid grid,None,Yes,1/2 hour,1 hour,Yes,,0,,Patient #,This person seemed to try to do a right triangular model but the start times barely matched the correct start times-they were usually off by about 15 minutes and then there was no line intersecting to the end time
58e45f84d46cc6fa347eac16,TMBDE,reverse,alfa,0,axis,longmire,4,5,2,3,1,170610,458183,167828,816211,193835,606465,628793,984039,800300,2717972,10.48,16.4,13.34,45.3,-5.92,9,5,-4,-355246,15,21,USA,English,Fourth,Natural Sciences,Female,the second one (triangular),Evan,Linear Model,,Time (hr),Patients,Title Appointment for the day,Yes,None,None,No,1/2 hour,used patient number,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,Patient #,Linear model example!
58e45f84d46cc6fa347eac18,UVPNA,reverse,alfa,3,axis,longmire,4,5,4,8,2,143134,315774,267617,721501,622975,147532,458908,989118,770507,2748243,7.65,16.49,12.84,45.8,-8.84,9,12,3,-530210,23,20,Mexico ,Spanish,Third,Natural Sciences,Female,the second one (triangular),Evan,Linear Model,(duration on y),Time,Trial #,Patient Scheduling Data,Yes,None,None,No,1/2 hour,Used Trial #,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #",
58e45f84d46cc6fa347eac26,WCPQA,reverse,alfa,0,axis,longmire,5,8,2,4,1,100127,184859,185634,587097,36961,413586,284986,772731,450547,1782457,4.75,12.88,7.51,29.71,-8.13,13,6,-7,-487745,20,20,USA,Other,Third,Biomedical & Health Sciences,Female,the first one (linear,Evan,Linear Model,(duration on y),start and end times (hours),trial #,Patient Schedules,Yes,None,None,No,1/2 hour,Trial #,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #, Trial #",
58e45f84d46cc6fa347eac1b,WFQJK,experiment,alfa,3,axis,longmire,5,9,4,9,1,175697,282442,116223,319138,140347,678491,458139,435361,818838,2011141,7.64,7.26,13.65,33.52,0.38,14,13,-1,22778,28,22,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Male,the second one (triangular),Evan,Triangular,,Time,DURATION,Patient Schedule,Yes,None,None,No,1 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Duration, Patient #, Trial #",This person also did not draw axis but just used the dots to compose the graph
58e45f84d46cc6fa347eac21,Y6F1V,experiment,alfa,0,longmire,axis,4,6,1,0,2,79735,237591,68301,171237,701025,53103,317326,239538,754128,1508756,5.29,3.99,12.57,25.15,1.3,10,1,-9,77788,13,24,USA,English,Fifth,Social Sciences (incl. CogSci),Female,the first one (linear,Evan,Linear Model,,Time,Trial,Clinical Trial Schedule,Yes,None,None,No,1/2 hour,trial # and patient #,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Patient #, Trial #",
58e45f84d46cc6fa347eac19,YHU8T,experiment,alfa,0,axis,longmire,5,4,3,4,0,189577,396414,205147,637973,165923,566650,585991,843120,732573,2530148,9.77,14.05,12.21,42.17,-4.29,9,7,-2,-257129,16,23,Korea,Other,Third,Social Sciences (incl. CogSci),Male,the first one (linear,Evan,Triangular,,Start Time,duration,NA,Yes,Pyramid grid,None,Yes,1/2 hour,1/2 hour,Yes,,0,,"Start time, Duration, Patient #",This person drew gridlines/intersecting pyramid lines. The start times were identified correctly but the duration and ending times were not always correct.
58e45f47d46cc6fa347ea5d2,0UUFC,experiment,bravo,3,longmire,axis,4,5,2,6,1,133750,894922,242399,458259,135794,883766,1028672,700658,1019560,3059086,17.14,11.68,16.99,50.98,5.47,9,8,-1,328014,18,19,USA,English,Second,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,NA,Dr. James Patient Scheduling Data,Yes,None,None,Yes,1/2 hour,1/2 hour (a little bit off because first hour was only one space instead of two like the othesr),No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #, Trial #",
58e45f47d46cc6fa347ea5d6,1129F,experiment,bravo,3,axis,longmire,2,2,3,2,2,136471,117408,125942,224296,86567,326123,253879,350238,412690,1528455,4.23,5.84,6.88,25.47,-1.61,4,5,1,-96359,11,21,China,English,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Hazel,Triangular,,Start/End,Duration time,Patient Statistics,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f47d46cc6fa347ea5e9,1592P,reverse,bravo,2,axis,longmire,5,9,4,7,1,132153,289693,237219,405558,312313,789486,421846,642777,1101799,2458631,7.03,10.71,18.36,40.98,-3.68,14,11,-3,-220931,26,19,China,Mandarin or Cantonese,First,Math or Computer Sciences,Female,the second one (triangular),Hazel,Triangular,,Time,Hrs,James's Patient Scheduling Data Table,Yes,None,Horizontal,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #","Drew long lines through left side of triangle up to end of graph, but right side ended at data point"
58e45f47d46cc6fa347ea5d5,5ZV2X,experiment,bravo,2,axis,longmire,3,7,2,5,2,244860,321167,253429,370941,113733,726536,566027,624370,840269,2492380,9.43,10.41,14,41.54,-0.97,10,7,-3,-58343,19,20,USA,Spanish,Third,Biomedical & Health Sciences,Female,the second one (triangular),Hazel,Triangular,,Start & End Time,Duration (hr),Patient Scheduling Data,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f47d46cc6fa347ea5da,76WFU,reverse,bravo,3,axis,longmire,4,7,2,7,1,167692,405082,114181,509789,268064,771629,572774,623970,1039693,2609087,9.55,10.4,17.33,43.48,-0.85,11,9,-2,-51196,21,24,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,Patient #,Patient Scheduling Data,Yes,None,None,Yes,1/2 hour,Patient #,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #","y-axis labeled patient #, but no tick marks were labeled; seems to be correct TM model shape though"
58e45f47d46cc6fa347ea5df,9T9QO,experiment,bravo,2,longmire,axis,3,7,3,8,2,128517,433704,179384,323797,117300,889754,562221,503181,1007054,2356673,9.37,8.39,16.78,39.28,0.98,10,11,1,59040,23,21,USA,English,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,Hours (duration),NA (cut off),Yes,Pyramid grid,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",drew horizontal triangle lines all over the graph paper instead of just the triangle fitting the graph
58e45f47d46cc6fa347ea5de,A5G40,experiment,bravo,2,longmire,axis,4,4,1,0,0,125323,424809,145575,164426,23756,468314,550132,310001,492070,1732827,9.17,5.17,8.2,28.88,4,8,1,-7,240131,9,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Male,the first one (linear,Hazel,Triangular (right angle),,Start time,Duration (? can't read),Triangular Interval Graph,Yes,None,None,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, Patient #","Some x-axis intersects drawn, others not"
58e45f47d46cc6fa347ea5e2,AUN52,experiment,bravo,3,axis,longmire,4,5,5,8,2,132471,364354,177567,281978,84654,591395,496825,459545,676049,1923215,8.28,7.66,11.27,32.05,0.62,9,13,4,37280,24,21,China,Mandarin or Cantonese,Fourth,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,Trial,Patient Scheduling Table,Yes,None,None,Yes,1/2 hour,Trial # (out of order though),Yes,"A1, D2, B1, G3, I4, E2, F3, H3, J4",9,,"Start time, End time, Patient #, Trial #","y-axis labeled as trial, but numbers are out of order; had correct graph/point placement and x-axis label"
58e45f47d46cc6fa347ea5e1,CHZCL,reverse,bravo,2,axis,longmire,5,6,5,5,1,150918,320738,203809,527189,185422,979986,471656,730998,1165408,2660271,7.86,12.18,19.42,44.34,-4.32,11,10,-1,-259342,22,18,USA,English,First,Biomedical & Health Sciences,Female,the first one (linear,Hazel,Triangular,,Start & End Time,Duration,NA (cut off),Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f47d46cc6fa347ea5dc,FSJAY,reverse,bravo,2,axis,longmire,5,8,4,7,2,174007,467129,261624,581978,207667,735438,641136,843602,943105,3082170,10.69,14.06,15.72,51.37,-3.37,13,11,-2,-202466,26,22,USA,English,Fourth,Math or Computer Sciences,Male,the first one (linear,Hazel,Triangular,,Time,Duration,Yong,Yes,None,None,Yes,1/2 hour,15 minutes,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",intresting graph title?
58e45f47d46cc6fa347ea5d9,JYJXS,reverse,bravo,2,axis,longmire,4,9,5,10,2,126575,328198,153803,358266,77358,837294,454773,512069,914652,2223070,7.58,8.53,15.24,37.05,-0.95,13,15,2,-57296,30,22,USA,Other,Third,Biomedical & Health Sciences,Female,the second one (triangular),Hazel,Triangular (asymmetric),,Time,Trial #,Trial # vs Time,Yes,None,None,Yes,1/2 hour,Trial #,No,,0,,"Start time, End time, Patient #, Trial #",
58e45f47d46cc6fa347ea5db,N5CZB,reverse,bravo,2,longmire,axis,5,8,3,7,1,135563,268022,342299,401234,144809,532121,403585,743533,676930,2508585,6.73,12.39,11.28,41.81,-5.67,13,10,-3,-339948,24,21,China,Mandarin or Cantonese,Third,Social Sciences (incl. CogSci),Male,the first one (linear,Hazel,Triangular,,Time Start & End,Duration / hours,Patient Schedule,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",labels the y-axis by fractions of hours
58e45f47d46cc6fa347ea5e3,Q3HE8,reverse,bravo,0,longmire,axis,5,9,2,7,1,122060,387635,400212,675529,109302,740048,509695,1075741,849350,2849603,8.49,17.93,14.16,47.49,-9.43,14,9,-5,-566046,24,22,China,Mandarin or Cantonese,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Hazel,Triangular,,Start & End Time (time of day),Duration (in hours),Patient Clinical Trials Schedule,Yes,Pyramid grid,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45f47d46cc6fa347ea5e5,TGAU4,experiment,bravo,0,longmire,axis,3,7,1,0,1,129790,601412,255442,336158,166200,542180,731202,591600,708380,2328840,12.19,9.86,11.81,38.81,2.33,10,1,-9,139602,12,21,USA,Spanish,Fourth,Math or Computer Sciences,Female,the first one (linear,Hazel,Triangular (right angle),,Start,Duration,Schedule,Yes,None,None,No,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, Duration, Patient #",
58e45f47d46cc6fa347ea5e8,WYGTA,reverse,bravo,3,longmire,axis,4,8,2,5,1,144126,360669,164853,316564,519001,131484,504795,481417,650485,2033550,8.41,8.02,10.84,33.89,0.39,12,7,-5,23378,20,21,USA,English,Third,Social Sciences (incl. CogSci),Female,the first one (linear,Hazel,Triangular,,Time,NA,NA,Yes,None,None,Yes,1/2 hour,N/A (originally patient but erased),Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #","Originally had patients on y-axis, but then erased; seems to be duration without labels"
58e45f47d46cc6fa347ea5e6,Y7TQD,reverse,bravo,3,longmire,axis,3,4,3,5,0,111740,382926,196377,323742,59206,503196,494666,520119,562402,1813759,8.24,8.67,9.37,30.23,-0.42,7,8,1,-25453,15,19,USA,English,Third,Biomedical & Health Sciences,Female,the second one (triangular),Hazel,Linear Model,,Time,Patien #,James Patient Schedule,No,None,None,No,1/2 hour,Patient #,No,,0,,"Patient #, Time",
58e45f47d46cc6fa347ea5d4,ZNUEO,experiment,bravo,2,axis,longmire,5,8,5,9,2,232809,383135,268736,479839,203246,608330,615944,748575,811576,2515649,10.27,12.48,13.53,41.93,-2.21,13,14,1,-132631,29,22,USA,English,Fifth,Natural Sciences,Male,the first one (linear,Hazel,Triangular,,Time of Day,Duration (hrs),Patient Scheduling,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #","Larger triangle was drawn, but entire triangular gridlines were not"
58e45eadd46cc6fa347e9e59,1ENZF,experiment,charlie,3,longmire,axis,4,9,0,5,1,145373,416336,305176,269125,182103,577811,561709,574301,759914,2432776,9.36,9.57,12.67,40.55,-0.21,13,5,-8,-12592,19,21,USA,Mandarin or Cantonese,Fourth,Biomedical & Health Sciences,Female,the first one (linear,Kai,Triangular (asymmetric),,Start/End Time,Trial #,Start/End Times of Patients Trial #s,Yes,None,None,Yes,1 hour,NA - Trial #,No,"A1, B1, G3, I4, C1, E2, F3, H3, J4",9,,"Start time, End time, Patient #, Trial #",
58e45eadd46cc6fa347e9e68,6T9O9,experiment,charlie,2,longmire,axis,5,8,3,9,2,103450,385941,214890,241539,76750,500211,489391,456429,576961,1983076,8.16,7.61,9.62,33.05,0.55,13,12,-1,32962,27,18,USA,Other,First,Biomedical & Health Sciences,Female,the first one (linear,Kai,Triangular,,[Start & End] [Time],[Duration],(IMAGE IS CUT OFF FROM SCANNING),Yes,Pyramid grid,None,Yes,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #",Title of graph is cut off from scanning
58e45eadd46cc6fa347e9e62,8UFM6,reverse,charlie,0,longmire,axis,4,7,3,3,1,98072,465366,225307,282869,513921,247170,563438,508176,761091,2244545,9.39,8.47,12.68,37.41,0.92,11,6,-5,55262,18,20,China,Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,time,duration of shift (# of hours),PATIENT TRIALS SCHEDULE,Yes,None,None,Yes,1/2 hour,1 hour,No,,0,,"Start time, End time, Duration, Patient #",Sbj did not get coordinates correct simply because the y-axis is labeled as a hour rather than half hour
58e45eadd46cc6fa347e9e6c,B7CJ3,reverse,charlie,3,longmire,axis,4,4,1,0,0,107634,321124,121967,347333,72450,765484,428758,469300,837934,2230762,7.15,7.82,13.97,37.18,-0.68,8,1,-7,-40542,9,22,Philippines,Other,Fourth,Social Sciences (incl. CogSci),Female,the second one (triangular),Kai,Linear Model ,(duration on y),START AND END TIME,TRIAL #,JAMES' SCHEDULING DATA,Yes,None,None,No,1/2 hour,NA - Trial number,No,"A1, D2, B1, G3, I4, C1, E2, F3, J4",9,,"Start time, End time, Patient #, Trial #",
58e45eadd46cc6fa347e9e61,DZ413,reverse,charlie,2,axis,longmire,3,6,2,1,1,229865,298062,168153,754817,87280,527171,527927,922970,614451,2806047,8.8,15.38,10.24,46.77,-6.58,9,3,-6,-395043,13,19,USA,English,Second,Biomedical & Health Sciences,Female,the first one (linear,Kai,Triangular (right angle),,Start - End time,Duration (hr),Conference Room Sessions,Yes,Pyramid grid,Horizontal,No,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #","sbj uses only half of the pyramid on the x-axis to indicate the start time, yet it's not in a right triangular form since the end time cannot be directly or indirectly determined straight from this chart without more explanation"
58e45eadd46cc6fa347e9e66,E1YEU,experiment,charlie,3,longmire,axis,4,4,0,4,0,151244,459893,226316,328928,521230,193388,611137,555244,714618,2341864,10.19,9.25,11.91,39.03,0.93,8,4,-4,55893,12,17,USA,English,Second,Biomedical & Health Sciences,Female,the first one (linear,Kai,Other,AMBIGUOUS,Start - end,NA,NA,Yes,None,None,Yes,1/2 hour,1/2 hour,Yes,,0,,"Start time, End time, Patient #","The graph is incomplete, and the type of graph is difficult to categorize"
58e45eadd46cc6fa347e9e64,GEDKA,reverse,charlie,3,longmire,axis,4,9,3,9,2,130543,344149,124534,302877,662790,88748,474692,427411,751538,2185466,7.91,7.12,12.53,36.42,0.79,13,12,-1,47281,27,20,China,Mandarin or Cantonese,Second,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular,,Time,Duration,Clinical Trial Schedule,Yes,None,None,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
58e45eadd46cc6fa347e9e67,MMVNP,reverse,charlie,3,longmire,axis,3,4,0,1,0,111759,365167,236672,407354,109830,516442,476926,644026,626272,2220700,7.95,10.73,10.44,37.01,-2.79,7,1,-6,-167100,8,19,Korea,Other,First,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular (right angle),,Start & End Time,Hours,NA,Yes,None,None,Yes,1/2 hour,15 minutes,Yes,"D2, B1, G3, I4, C1, E2, H3, J4",8,,"Start time, End time, Duration, Patient #",Scale of Y-Axis is ambiguous
58e45eadd46cc6fa347e9e60,OZWVZ,reverse,charlie,3,longmire,axis,5,5,0,1,1,119206,307767,307842,462330,126074,423877,426973,770172,549951,2307572,7.12,12.84,9.17,38.46,-5.72,10,1,-9,-343199,12,30,Korea,Other,Fourth,Fine Arts,Male,the second one (triangular),Kai,Linear Model,,Hours,Patients,Patient Scheduling Data,Yes,None,None,No,40 minutes,NA - Patient,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Patient #",obj seems like not using the dots to space the x-axis
58e45eadd46cc6fa347e9e6b,QEHR1,reverse,charlie,2,longmire,axis,4,4,1,4,2,96103,418957,233817,349219,102199,348020,515060,583036,450219,2041610,8.58,9.72,7.5,34.03,-1.13,8,5,-3,-67976,15,18,USA,English,First,Social Sciences (incl. CogSci),Female,the first one (linear,Kai,Triangular,,TIME,(IMAGE GOT CUT OFF FROM SCANNING),PATIENT SCHEDULES,Yes,None,None,Yes,1/2 hour,1/2 hour,Yes,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",Label for Y-axis is cut off from scanning
58e45eadd46cc6fa347e9e63,T8OEA,reverse,charlie,0,longmire,axis,3,6,1,1,0,126349,472693,215449,500517,14592,963379,599042,715966,977971,2771793,9.98,11.93,16.3,46.2,-1.95,9,2,-7,-116924,11,24,USA,Spanish,Third,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular (right angle),,Time,HOURS FOR TRIAL,James Patient Scheduling,Yes,None,None,No,1/2 hour,15 minutes,Yes,"A1, B1, G3, I4, C1, F3, H3, J4",8,,"Start time, End time, Duration, Patient #, Trial #","sbj does calculation for duration before hand, and there's two fainted sketch of pyramid on x-axis that got erased at the end"
58e45eadd46cc6fa347e9e5a,UKKNJ,reverse,charlie,0,longmire,axis,5,8,1,7,1,113678,399418,313667,431244,505476,42392,513096,744911,547868,2329340,8.55,12.42,9.13,38.82,-3.86,13,8,-5,-231815,22,19,USA,English,Second,Social Sciences (incl. CogSci),Male,the first one (linear,Kai,Triangular,,Hours of Day,Duration (Hours),Scheduling for Patients,Yes,None,Horizontal,Yes,1/2 hour,1/2 hour,No,"A1, D2, B1, G3, I4, C1, E2, F3, H3, J4",10,,"Start time, End time, Duration, Patient #",
